Gene,logFC,pvalue
1553102_a_at,-1.013945000000001,0.027803798655225923
1553112_s_at,-1.0080910000000003,0.014641456357481776
1553132_a_at,-1.9483639999999998,0.015139056095836063
1553292_s_at,-1.4620440000000006,0.019989920619799647
1553663_a_at,1.8145289999999998,0.038769785834539536
1553856_s_at,-1.582217,0.029668120704216875
1553960_at,1.0825910000000007,0.015494333229131343
1554026_a_at,1.0476570000000003,0.014634708235282838
1554080_at,1.3505710000000009,0.009487482943334843
1554447_at,1.0938429999999997,0.02612871067576668
1554878_a_at,-1.129521999999998,0.037312114131887085
1554930_a_at,-1.3042550000000004,0.024644265593783805
1555579_s_at,1.206990000000002,0.012228211366988146
1555613_a_at,-1.2395590000000003,0.04699541545182777
1555691_a_at,-2.0227699999999995,0.020030725329772785
1555779_a_at,-1.5623799999999988,0.008601309215019384
1555977_at,-1.2768919999999992,0.0014282033958941203
1557246_at,-1.124486000000001,0.04887693210836111
1557758_at,-1.598306,0.026667749733989516
1557889_at,1.3731850000000003,0.03606601353170853
1557918_s_at,1.463894999999999,0.020860135428390325
1558714_at,1.3178110000000007,0.029205365545210374
1559263_s_at,-1.169341000000001,0.03596629854273742
1559450_at,-1.9434859999999992,0.0045252193929824465
1559584_a_at,-1.5819069999999993,0.024425892960542837
1561443_at,-1.8652169999999995,0.025680637389892083
1562028_at,-1.156884,0.041499364963948404
1565833_at,1.2154829999999999,0.03794131761743734
1568574_x_at,1.1260599999999998,0.03510415022777879
1569190_at,1.141235,0.026189532984955813
1569225_a_at,-1.3432359999999997,0.017581504400349033
200940_s_at,-1.0019279999999977,0.009803121673097881
201236_s_at,-1.0277410000000007,0.03842696844843619
201387_s_at,3.115978000000001,0.0063026487449387375
201388_at,-1.6703609999999998,0.047335194468484255
201534_s_at,-1.0213119999999982,0.020602516618134673
201535_at,-1.3420119999999987,0.010252810011797469
201564_s_at,1.7223119999999996,0.009224905943200044
201951_at,-2.131604000000001,0.035123469272614165
201952_at,-2.433475999999999,0.03543787058357532
202007_at,1.0312110000000008,0.03386323835617544
202008_s_at,1.1776499999999999,0.034384034835098394
202157_s_at,-1.1428840000000005,0.0112374369181788
202158_s_at,-1.0437660000000006,0.03308112173376053
202191_s_at,-1.5613200000000012,0.017832334450490747
202192_s_at,-1.103791000000001,0.027623552714001343
202345_s_at,1.4420850000000005,0.0034363982776550108
202554_s_at,-1.8499210000000001,0.030950114414340014
203074_at,1.8058899999999998,0.044698994365539105
203127_s_at,-1.0692480000000009,0.020302233296945096
203240_at,1.6334970000000002,0.03382798146462165
203305_at,-1.811298999999999,0.04866610382208738
203349_s_at,1.2115840000000002,0.018317805657199253
203485_at,-2.127818999999999,0.0004301396078568739
203656_at,-1.0293219999999987,0.00400712026350705
203669_s_at,1.0355220000000003,0.011687986607080857
203691_at,1.795014,0.03128835195286043
203979_at,1.1807430000000005,0.008310150805197628
204017_at,1.1359079999999988,0.01920224141967461
204034_at,-1.2059670000000002,0.007094925228530478
204051_s_at,-1.841972000000001,0.006553426300259035
204052_s_at,-1.7275340000000012,0.007690120669308929
204053_x_at,-1.0341979999999982,0.024577696176822105
204058_at,1.4803999999999986,0.03985790337413642
204192_at,-1.4286210000000006,0.024525420329424313
204385_at,-1.9609880000000004,0.030531184777363867
204529_s_at,-1.662127,0.028494719881437706
204542_at,-1.842604999999999,0.04526817269700017
204557_s_at,1.5087629999999996,0.04068176895787047
204562_at,-1.3047459999999997,0.009513811470179824
204563_at,-2.518128000000001,0.025389973970568788
204606_at,-1.492616,0.0153033977815128
204653_at,-1.717576000000001,0.045002621138682364
204654_s_at,-1.5295459999999999,0.02876977031731328
204837_at,1.3091679999999997,0.04579869433241038
204875_s_at,1.244040000000001,0.036440751512696996
204890_s_at,-1.8134329999999999,0.031220985886838217
204951_at,-2.3677199999999994,0.010293638160893842
204960_at,-1.1586239999999997,0.04566908608762952
204985_s_at,-1.291888000000001,0.01904075862466967
205039_s_at,-1.112654000000001,0.01916340350196824
205049_s_at,-1.6469330000000006,0.004754405667397844
205232_s_at,-1.0500169999999995,0.014209085184831823
205267_at,-2.623709999999999,0.0211538586346163
205382_s_at,-1.062102000000002,0.037717220978385944
205419_at,-1.4299549999999996,0.013554059976895823
