Gene,Importance
228241_at,0.025007170795184875
205225_at,0.021949391999376146
203963_at,0.015802074536708198
227198_at,0.014751778170947069
206754_s_at,0.01461094223771795
210735_s_at,0.014591191345565826
204508_s_at,0.01386208788672965
204913_s_at,0.013820840480411246
203824_at,0.013816953902254526
215867_x_at,0.01365119808789373
1554712_a_at,0.013418054861854616
204915_s_at,0.012879154850027063
202917_s_at,0.012831346394720586
204540_at,0.012734200485088753
205509_at,0.012725401877406962
204914_s_at,0.012692242342339524
220414_at,0.012321005814915163
203535_at,0.0122229153451943
226473_at,0.012062730801344419
204733_at,0.01174675197293243
